1:  1 1 1 1
2:  2 2 2 2
3:  3 3 3 3 <
4:  4 4 4 4
5:  0 5 5 5 <
6:  1 6 6 6
7:  2 0 7 7 <
8:  3 1 8 8
9:  4 2 9 9
10:  0 3 10 10 <
11:  1 4 0 11
12:  2 5 1 12 <
13:  3 6 2 0
14:  4 0 3 1
15:  0 1 4 2
16:  1 2 5 3
17:  2 3 6 4 <
18:  3 4 7 5 <
19:  4 5 8 6
20:  0 6 9 7
21:  1 0 10 8
22:  2 1 0 9
23:  3 2 1 10 <
24:  4 3 2 11
25:  0 4 3 12 <
26:  1 5 4 0
27:  2 6 5 1
28:  3 0 6 2
29:  4 1 7 3
30:  0 2 8 4 <
31:  1 3 9 5
32:  2 4 10 6 <
33:  3 5 0 7 <
34:  4 6 1 8
35:  0 0 2 9
36:  1 1 3 10
37:  2 2 4 11
38:  3 3 5 12 <
39:  4 4 6 0
40:  0 5 7 1 <
41:  1 6 8 2
42:  2 0 9 3
43:  3 1 10 4
44:  4 2 0 5
45:  0 3 1 6 <
46:  1 4 2 7
47:  2 5 3 8 <
48:  3 6 4 9
49:  4 0 5 10
50:  0 1 6 11
51:  1 2 7 12
52:  2 3 8 0 <
53:  3 4 9 1
54:  4 5 10 2
55:  0 6 0 3
56:  1 0 1 4
57:  2 1 2 5
58:  3 2 3 6 <
59:  4 3 4 7
60:  0 4 5 8 <
61:  1 5 6 9
62:  2 6 7 10
63:  3 0 8 11
64:  4 1 9 12
65:  0 2 10 0 <
66:  1 3 0 1
67:  2 4 1 2
68:  3 5 2 3
69:  4 6 3 4
70:  0 0 4 5 <
71:  1 1 5 6
72:  2 2 6 7 <
73:  3 3 7 8 <
74:  4 4 8 9
75:  0 5 9 10
76:  1 6 10 11
77:  2 0 0 12 <
78:  3 1 1 0
79:  4 2 2 1
80:  0 3 3 2
81:  1 4 4 3
82:  2 5 5 4 <
83:  3 6 6 5
84:  4 0 7 6
85:  0 1 8 7
86:  1 2 9 8
87:  2 3 10 9 <
88:  3 4 0 10 <
89:  4 5 1 11
90:  0 6 2 12
91:  1 0 3 0
92:  2 1 4 1
93:  3 2 5 2
94:  4 3 6 3
95:  0 4 7 4 <
96:  1 5 8 5
97:  2 6 9 6
98:  3 0 10 7 <
99:  4 1 0 8
100:  0 2 1 9 <
101:  1 3 2 10
102:  2 4 3 11
103:  3 5 4 12 <
104:  4 6 5 0
105:  0 0 6 1 <
106:  1 1 7 2
107:  2 2 8 3 <
108:  3 3 9 4
109:  4 4 10 5
110:  0 5 0 6 <
111:  1 6 1 7
112:  2 0 2 8
113:  3 1 3 9
114:  4 2 4 10
115:  0 3 5 11
116:  1 4 6 12
117:  2 5 7 0 <
118:  3 6 8 1
119:  4 0 9 2
120:  0 1 10 3
121:  1 2 0 4
122:  2 3 1 5 <
123:  3 4 2 6
124:  4 5 3 7
125:  0 6 4 8
126:  1 0 5 9
127:  2 1 6 10
128:  3 2 7 11
129:  4 3 8 12
130:  0 4 9 0
131:  1 5 10 1
132:  2 6 0 2
133:  3 0 1 3 <
134:  4 1 2 4
135:  0 2 3 5 <
136:  1 3 4 6
137:  2 4 5 7 <
138:  3 5 6 8 <
139:  4 6 7 9
140:  0 0 8 10 <
141:  1 1 9 11
142:  2 2 10 12 <
143:  3 3 0 0 <
144:  4 4 1 1
145:  0 5 2 2
146:  1 6 3 3
147:  2 0 4 4 <
148:  3 1 5 5
149:  4 2 6 6
150:  0 3 7 7 <
151:  1 4 8 8
152:  2 5 9 9
153:  3 6 10 10
154:  4 0 0 11
155:  0 1 1 12
156:  1 2 2 0
157:  2 3 3 1 <
158:  3 4 4 2
159:  4 5 5 3
160:  0 6 6 4
161:  1 0 7 5
162:  2 1 8 6
163:  3 2 9 7
164:  4 3 10 8
165:  0 4 0 9 <
166:  1 5 1 10
167:  2 6 2 11
168:  3 0 3 12 <
169:  4 1 4 0
170:  0 2 5 1 <
171:  1 3 6 2
172:  2 4 7 3 <
173:  3 5 8 4 <
174:  4 6 9 5
175:  0 0 10 6 <
176:  1 1 0 7
177:  2 2 1 8 <
178:  3 3 2 9
179:  4 4 3 10
180:  0 5 4 11
181:  1 6 5 12
182:  2 0 6 0 <
183:  3 1 7 1
184:  4 2 8 2
185:  0 3 9 3
186:  1 4 10 4
187:  2 5 0 5 <
188:  3 6 1 6
189:  4 0 2 7
190:  0 1 3 8
191:  1 2 4 9
192:  2 3 5 10 <
193:  3 4 6 11
194:  4 5 7 12
195:  0 6 8 0
196:  1 0 9 1
197:  2 1 10 2
198:  3 2 0 3 <
199:  4 3 1 4
200:  0 4 2 5
201:  1 5 3 6
202:  2 6 4 7
203:  3 0 5 8 <
204:  4 1 6 9
205:  0 2 7 10 <
206:  1 3 8 11
207:  2 4 9 12
208:  3 5 10 0 <
209:  4 6 0 1
210:  0 0 1 2
211:  1 1 2 3
212:  2 2 3 4 <
213:  3 3 4 5 <
214:  4 4 5 6
215:  0 5 6 7 <
216:  1 6 7 8
217:  2 0 8 9 <
218:  3 1 9 10
219:  4 2 10 11
220:  0 3 0 12 <
221:  1 4 1 0
222:  2 5 2 1
223:  3 6 3 2
224:  4 0 4 3
225:  0 1 5 4
226:  1 2 6 5
227:  2 3 7 6 <
228:  3 4 8 7 <
229:  4 5 9 8
230:  0 6 10 9
231:  1 0 0 10
232:  2 1 1 11
233:  3 2 2 12
234:  4 3 3 0
235:  0 4 4 1 <
236:  1 5 5 2
237:  2 6 6 3
238:  3 0 7 4 <
239:  4 1 8 5
240:  0 2 9 6
241:  1 3 10 7
242:  2 4 0 8 <
243:  3 5 1 9 <
244:  4 6 2 10
245:  0 0 3 11
246:  1 1 4 12
247:  2 2 5 0 <
248:  3 3 6 1 <
249:  4 4 7 2
250:  0 5 8 3 <
251:  1 6 9 4
252:  2 0 10 5 <
253:  3 1 0 6
254:  4 2 1 7
255:  0 3 2 8
256:  1 4 3 9
257:  2 5 4 10 <
258:  3 6 5 11
259:  4 0 6 12
260:  0 1 7 0
261:  1 2 8 1
262:  2 3 9 2
263:  3 4 10 3 <
264:  4 5 0 4
265:  0 6 1 5
266:  1 0 2 6
267:  2 1 3 7
268:  3 2 4 8 <
269:  4 3 5 9
270:  0 4 6 10 <
271:  1 5 7 11
272:  2 6 8 12
273:  3 0 9 0
274:  4 1 10 1
275:  0 2 0 2
276:  1 3 1 3
277:  2 4 2 4
278:  3 5 3 5 <
279:  4 6 4 6
280:  0 0 5 7 <
281:  1 1 6 8
282:  2 2 7 9 <
283:  3 3 8 10 <
284:  4 4 9 11
285:  0 5 10 12 <
286:  1 6 0 0
287:  2 0 1 1 <
288:  3 1 2 2
289:  4 2 3 3
290:  0 3 4 4 <
291:  1 4 5 5
292:  2 5 6 6 <
293:  3 6 7 7
294:  4 0 8 8
295:  0 1 9 9
296:  1 2 10 10
297:  2 3 0 11
298:  3 4 1 12 <
299:  4 5 2 0
300:  0 6 3 1
301:  1 0 4 2
302:  2 1 5 3
303:  3 2 6 4 <
304:  4 3 7 5
305:  0 4 8 6 <
306:  1 5 9 7
307:  2 6 10 8
308:  3 0 0 9 <
309:  4 1 1 10
310:  0 2 2 11
311:  1 3 3 12
312:  2 4 4 0 <
313:  3 5 5 1 <
